dataset,config,seed,loss,rmse,nrmse,mae,mse,elapsed_s
freesolv,ensemble-avg,mean+/-std(n=3),4.682240+/-0.242819,2.163108+/-0.056605,0.616866+/-0.016142,1.635324+/-0.044595,4.682240+/-0.242819,0.0
freesolv,ensemble-all,mean+/-std(n=1),6.402514+/-0.000000,2.530319+/-0.000000,0.721586+/-0.000000,1.966291+/-0.000000,6.402514+/-0.000000,0.0
lipo,ecfp-xgb,2025,0.5787121653556824,0.7607313358575959,0.6304389892247758,0.5574115514755249,0.5787121653556824,19.915589094161987
lipo,ecfp-xgb,2026,0.5715135931968689,0.7559851805405109,0.6265057197250599,0.5617274045944214,0.5715135931968689,18.292340517044067
lipo,ecfp-xgb,2027,0.5766561031341553,0.7593787613135854,0.6293180734846403,0.5566538572311401,0.5766561031341553,18.281685829162598
lipo,ecfp-xgb,mean+/-std(n=3),0.575627+/-0.003028,0.758698+/-0.001996,0.628754+/-0.001655,0.558598+/-0.002235,0.575627+/-0.003028,56.5
lipo,ecfp-mlp,2025,0.6207327842712402,0.7878659684687747,0.6529262058675506,0.5690359473228455,0.6207327842712402,94.45682048797607
lipo,ecfp-mlp,2026,0.6076160073280334,0.7794972785892414,0.645990842303434,0.5685634613037109,0.6076160073280334,45.94187021255493
lipo,ecfp-mlp,2027,0.5766211748123169,0.759355763007246,0.6292990141553882,0.5600478649139404,0.5766211748123169,68.73855376243591
lipo,ecfp-mlp,mean+/-std(n=3),0.601657+/-0.018495,0.775573+/-0.011965,0.642739+/-0.009916,0.565882+/-0.004130,0.601657+/-0.018495,209.1
lipo,graph-only,2025,0.36634415530023123,0.7302444440009332,0.6051736631092793,0.5512884855270386,0.5332569479942322,31.052831172943115
lipo,graph-only,2026,0.37329760094483694,0.7371420977858923,0.6108899385868891,0.5429214239120483,0.543378472328186,31.793867349624634
lipo,graph-only,2027,0.3837830804643177,0.7474230762438941,0.6194100683117906,0.553996741771698,0.558641254901886,33.407562255859375
lipo,graph-only,mean+/-std(n=3),0.374475+/-0.007168,0.738270+/-0.007058,0.611825+/-0.005849,0.549402+/-0.004714,0.545092+/-0.010434,96.3
lipo,lang-only-frozen,2025,0.6374605167479742,0.9632748964816386,0.7982924108139604,0.7581163644790649,0.9278985261917114,12.912771463394165
lipo,lang-only-frozen,2026,0.6627301823525201,0.9821820127435248,0.8139612582814587,0.7625268697738647,0.9646815061569214,11.910602807998657
lipo,lang-only-frozen,2027,0.6727346692766462,0.9895677297600095,0.8200820051878862,0.7680121064186096,0.9792442917823792,16.876877069473267
lipo,lang-only-frozen,mean+/-std(n=3),0.657642+/-0.014843,0.978342+/-0.011072,0.810779+/-0.009176,0.762885+/-0.004048,0.957275+/-0.021606,41.7
lipo,lang-only-unfrozen,2025,0.5544727285703023,0.8983875426625295,0.7445184753560853,0.6741063594818115,0.8071001768112183,86.06419467926025
lipo,lang-only-unfrozen,2026,1.1688822678157262,1.3043946719913875,1.080987754544622,1.0416584014892578,1.701445460319519,19.99350357055664
lipo,lang-only-unfrozen,2027,0.6115424718175616,0.943489176347971,0.7818954401435045,0.7103244066238403,0.8901718258857727,86.31694483757019
lipo,lang-only-unfrozen,mean+/-std(n=3),0.778299+/-0.277165,1.048757+/-0.181698,0.869134+/-0.150578,0.808696+/-0.165391,1.132906+/-0.403446,192.4
lipo,fusion-concat,2025,0.3886157206126622,0.7521141771524007,0.6232977127083189,0.557712733745575,0.5656757354736328,48.610952615737915
