dataset,config,seed,loss,rmse,nrmse,mae,mse,elapsed_s
freesolv,graph+lang+pretrain,2025,0.160054262727499,1.4789063757459584,0.051710014172540765,0.883316695690155,2.187164068222046,18.837008476257324
freesolv,graph+lang+pretrain,2026,0.1404721364378929,1.385485979607416,0.04844356668975689,0.7506581544876099,1.9195713996887207,18.20794367790222
freesolv,graph+lang+pretrain,2027,0.17041946575045586,1.5260425693478914,0.05335813286292517,0.8186565041542053,2.328805923461914,18.71142816543579
freesolv,graph+lang+pretrain,mean+/-std(n=3),0.156982+/-0.012417,1.463478+/-0.058410,0.051171+/-0.002042,0.817544+/-0.054163,2.145180+/-0.169686,55.8
freesolv,ecfp4-mlp,2025,0.5261495411396027,2.6814006523010323,0.09375526943874922,1.1953321695327759,7.1899094581604,4.219599962234497
freesolv,ecfp4-mlp,2026,0.5277526527643204,2.6854823323210026,0.09389798552621892,1.2117693424224854,7.211815357208252,7.4238505363464355
freesolv,ecfp4-mlp,2027,0.529615044593811,2.690216199986023,0.09406350537795777,1.2109994888305664,7.237263202667236,4.891993761062622
freesolv,ecfp4-mlp,mean+/-std(n=3),0.527839+/-0.001416,2.685700+/-0.003602,0.093906+/-0.000126,1.206034+/-0.007574,7.212996+/-0.019350,16.5
lipo,graph-only,2025,0.40022993371600196,0.7661191941295085,0.1276865323549181,0.5910758972167969,0.5869386196136475,126.25102090835571
lipo,graph-only,2026,0.4019734135695866,0.7677860900410852,0.12796434834018086,0.5901134610176086,0.5894954800605774,127.00166010856628
lipo,graph-only,2027,0.42377687919707524,0.7883338963571787,0.13138898272619645,0.58585125207901,0.6214703321456909,107.84386038780212
lipo,graph-only,mean+/-std(n=3),0.408660+/-0.010713,0.774080+/-0.010102,0.129013+/-0.001684,0.589014+/-0.002270,0.599301+/-0.015710,361.1
lipo,lang-only-frozen,2025,0.554784031141372,0.9019937207919035,0.1503322867986506,0.7101305723190308,0.8135926723480225,67.12842607498169
lipo,lang-only-frozen,2026,0.5525586094175067,0.9001828696644256,0.15003047827740426,0.703481137752533,0.8103291988372803,89.43858742713928
lipo,lang-only-frozen,2027,0.5499231857912881,0.8980335488477642,0.14967225814129403,0.6998999714851379,0.8064642548561096,60.78573942184448
lipo,lang-only-frozen,mean+/-std(n=3),0.552422+/-0.001987,0.900070+/-0.001619,0.150012+/-0.000270,0.704504+/-0.004239,0.810129+/-0.002914,217.4
lipo,lang-only-unfrozen,2025,0.8522408644358317,1.117950925544981,0.18632515425749685,0.89927738904953,1.2498142719268799,58.67753338813782
lipo,lang-only-unfrozen,2026,0.9220856138638087,1.1628593012621349,0.19380988354368914,0.9342379570007324,1.3522417545318604,55.971134662628174
lipo,lang-only-unfrozen,2027,0.6818996230761211,1.0000041127120323,0.16666735211867204,0.791231632232666,1.000008225440979,61.871339321136475
lipo,lang-only-unfrozen,mean+/-std(n=3),0.818742+/-0.100876,1.093605+/-0.068678,0.182267+/-0.011446,0.874916+/-0.060870,1.200688+/-0.147935,176.5
lipo,graph+lang,2025,0.606677774588267,0.9432365384894205,0.15720608974823674,0.7472673654556274,0.8896951675415039,70.25288152694702
lipo,graph+lang,2026,0.5643840240580695,0.9097643487380016,0.1516273914563336,0.6969330310821533,0.8276711702346802,119.98897218704224
